name,operator,lat,lon,sources,osm_id,wikidata_id,provider,region_code,facility_type,n_sources,ADMIN,ISO_A3,CONTINENT,SUBREGION,name_normalized,has_operator,in_both_sources,source_category,operator_norm,status,year,coord_confidence,cluster_id,address,source,note,osm_type,merge_status,merge_matched_name,merge_distance_m
BRIDGE DATA CENTRES MALAYSIA SDN BHD (Sepang),BRIDGE DATA CENTRES MALAYSIA SDN BHD,2.6895,101.6993,Energy Commission License,,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,bridge data centres malaysia sdn bhd sepang,True,False,Energy Commission License,BRIDGE DATA CENTRES MALAYSIA SDN BHD,,2021,geocoded_with_campus_offset,,"LOT PT 12144 DAN PT 12145, MUKIM DENGKIL, DAERAH SEPANG, 63000, SELANGOR",https://www.st.gov.my/stakeholders/electricity/list-of-registered-electricity-industry-professionals-and-licensees/list-public-distribution-licensee?page=5,match=keyword:data | capacity=21.25 | licensed=8 November 2021..8 October 2031,,new,,
DAMANSARA UPTOWN RETAIL CENTRE SDN. BHD. (Selangor),DAMANSARA UPTOWN RETAIL CENTRE SDN. BHD.,3.0738,101.5183,Energy Commission License,,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,damansara uptown retail centre sdn bhd selangor,True,False,Energy Commission License,DAMANSARA UPTOWN RETAIL CENTRE SDN. BHD.,,2019,geocoded_with_campus_offset,,"KOMPLEKS STARLING MALL DAN HOTEL SOMERSET, SEBAHAGIAN LOT PT 207, JALAN SS21/60, DAMANSARA UTAMA, MUKIM SUNGAI BULOH, DAERAH PETALING, 47400 SELANGOR.",https://www.st.gov.my/stakeholders/electricity/list-of-registered-electricity-industry-professionals-and-licensees/list-public-distribution-licensee?page=7,match=keyword:centre | capacity=51.00 | licensed=1 July 2019..1 June 2029,,new,,
SUNWAY MEDICAL CENTRE BERHAD (Selangor),SUNWAY MEDICAL CENTRE BERHAD,3.0738,101.5183,Energy Commission License,,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,sunway medical centre berhad selangor,True,False,Energy Commission License,SUNWAY MEDICAL CENTRE BERHAD,,2018,geocoded_with_campus_offset,,"SUNWAY MEDICAL CENTRE, LOT 917, MUKIM PEKAN PENAGA, DAERAH PETALING, 47100 SELANGOR.",https://www.st.gov.my/stakeholders/electricity/list-of-registered-electricity-industry-professionals-and-licensees/list-public-distribution-licensee?page=32,match=keyword:centre | capacity=8.67 | licensed=2 July 2018..2 June 2028,,new,,
TANJONG CITY CENTRE PROPERTY MANAGEMENT SDN. BHD. (Kuala Lumpur),TANJONG CITY CENTRE PROPERTY MANAGEMENT SDN. BHD.,3.139,101.6869,Energy Commission License,,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,tanjong city centre property management sdn bhd kuala lumpur,True,False,Energy Commission License,TANJONG CITY CENTRE PROPERTY MANAGEMENT SDN. BHD.,,2017,geocoded_with_campus_offset,,"MENARA MAXIS SEBAHAGIAN LOT 168, SEKSYEN 58 MUKIM BANDAR KUALA LUMPUR, DAERAH KUALA LUMPUR 50088 KUALA LUMPUR.",https://www.st.gov.my/stakeholders/electricity/list-of-registered-electricity-industry-professionals-and-licensees/list-public-distribution-licensee?page=32,match=keyword:centre | capacity=10.20 | licensed=11 October 2017..11 September 2027,,duplicate_proximity,AWS Asia Pacific (Malaysia),11.1
UNIVERSITI TELEKOM SDN BHD (Melaka),UNIVERSITI TELEKOM SDN BHD,2.1896,102.2501,Energy Commission License,,,,,physical_facility,1,Malaysia,MYS,Asia,South-Eastern Asia,universiti telekom sdn bhd melaka,True,False,Energy Commission License,UNIVERSITI TELEKOM SDN BHD,,2024,geocoded_with_campus_offset,,"PT7216, LOT 11662, LOT 11721, LOT 11724 BUKIT BARU MELAKA TENGAH 75450 MELAKA",https://www.st.gov.my/stakeholders/electricity/list-of-registered-electricity-industry-professionals-and-licensees/list-public-distribution-licensee?page=35,match=keyword:telekom | capacity=8.00 | licensed=5 January 2024..5 December 2033,,new,,
